id,Z,formation,geometry,X,Y,dip,azimuth,polarity,x_world,y_world
1,800,layer,POINT (219.88899519455563 -1053.0358898402328),219.889,-1053.036,73.3,196,1,-1220.799522673031,488.1943069306931
2,800,layer,POINT (279.2081361794069 -1071.7254822053228),279.208,-1071.725,73.3,196,1,-1241.677804295943,329.4319306930694
3,900,layer,POINT (353.7633578966686 -1071.522334462224),353.763,-1071.522,73.3,196,1,-1241.677804295943,133.625
4,1000,layer,POINT (415.11397631250793 -1065.8341976554575),415.114,-1065.834,73.3,196,1,-1234.7183770883055,-30.42945544554459
5,1000,layer,POINT (488.2471638280779 -1086.5552674515357),488.247,-1086.555,73.3,196,1,-1259.076372315036,-223.59034653465346
6,900,layer,POINT (533.7522582822104 -1123.1218612093207),533.752,-1123.122,73.3,196,1,-1301.9928400954655,-342.6621287128712
7,800,layer,POINT (572.756624957181 -1155.6255001051297),572.757,-1155.626,73.3,196,1,-1339.109785202864,-445.8576732673266
8,700,layer,POINT (634.9198343454156 -1196.6613442110884),634.92,-1196.661,73.3,196,1,-1386.6658711217185,-609.9121287128712
9,600,layer,POINT (671.080132617003 -1229.571278593095),671.08,-1229.571,73.3,196,1,-1424.9427207637232,-707.8155940594058
10,600,layer,POINT (707.2404308885904 -1240.9475522066282),707.24,-1240.948,73.3,196,1,-1437.7016706443915,-803.0730198019801
11,700,layer,POINT (768.5910493044297 -1237.6971883170472),768.591,-1237.697,73.3,196,1,-1434.221957040573,-964.4814356435643
12,800,layer,POINT (831.5668496650594 -1231.1964605378855),831.567,-1231.196,73.3,196,1,-1427.2625298329358,-1131.1819306930693
13,900,layer,POINT (929.8903573248813 -1239.3223702618377),929.89,-1239.322,73.3,196,1,-1436.5417661097854,-1390.4938118811879
14,1000,layer,POINT (1003.22669258355 -1237.2908928308493),1003.227,-1237.291,73.3,196,1,-1434.221957040573,-1586.3007425742571
