id,Z,formation,geometry,X,Y,dip,azimuth,polarity
1,800,layer,POINT (14.492335293468244 187.57941767306465),219.889,-1053.036,73.3,196,1
2,800,layer,POINT (73.8114762783195 168.88982530797466),279.208,-1071.725,73.3,196,1
3,900,layer,POINT (148.3666979955812 169.0929730510734),353.763,-1071.522,73.3,196,1
4,1000,layer,POINT (209.71731641142054 174.78110985783997),415.114,-1065.834,73.3,196,1
5,1000,layer,POINT (282.8505039269905 154.0600400617618),488.247,-1086.555,73.3,196,1
6,900,layer,POINT (328.355598381123 117.49344630397673),533.752,-1123.122,73.3,196,1
7,800,layer,POINT (367.3599650560936 84.98980740816774),572.757,-1155.626,73.3,196,1
8,700,layer,POINT (429.52317444432816 43.953963302209104),634.92,-1196.661,73.3,196,1
9,600,layer,POINT (465.68347271591557 11.044028920202436),671.08,-1229.571,73.3,196,1
10,600,layer,POINT (501.843770987503 -0.3322446933307219),707.24,-1240.948,73.3,196,1
11,700,layer,POINT (563.1943894033423 2.9181191962502453),768.591,-1237.697,73.3,196,1
12,800,layer,POINT (626.1701897639721 9.418846975411952),831.567,-1231.196,73.3,196,1
13,900,layer,POINT (724.493697423794 1.2929372514597617),929.89,-1239.322,73.3,196,1
14,1000,layer,POINT (797.8300326824626 3.3244146824481504),1003.227,-1237.291,73.3,196,1
